timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1440873900,AC Milan,Empoli,fL3dmxxd,KbH8aCLf,2,1,,,,0
1440950400,AS Roma,Juventus,GtNb9h2q,EXzXDYgS,2,1,,,,0
1440960300,Udinese,Palermo,SYw7EcY6,fL3dmxxd,0,1,,,,0
1440960300,Torino,Fiorentina,0lwy4Ij1,6XKdgOM6,3,1,,,,0
1440960300,Napoli,Sampdoria,Qcs4tGVj,WdmUvPiG,2,2,,,,0
1440960300,Genoa,Verona,hCD6m1R3,Kxh373f3,2,0,,,,0
1440960300,Chievo,Lazio,fkHZWuUa,fL3dmxxd,4,0,,,,0
1440960300,Carpi,Inter,jkltiv4D,jDrBQiMS,1,2,,,,0
1440960300,Atalanta,Frosinone,rg6usZns,t4GQxEM5,2,0,,,,0
1442073600,Frosinone,AS Roma,t4GQxEM5,GtNb9h2q,0,2,,,,0
1442073600,Fiorentina,Genoa,6XKdgOM6,hCD6m1R3,1,0,,,,0
1442083500,Juventus,Chievo,EXzXDYgS,fkHZWuUa,1,1,,,,0
1442140200,Verona,Torino,Kxh373f3,0lwy4Ij1,2,2,,,,0
1442149200,Sassuolo,Atalanta,0lwy4Ij1,rg6usZns,2,2,,,,0
1442149200,Palermo,Carpi,fL3dmxxd,jkltiv4D,2,2,,,,0
1442149200,Empoli,Napoli,KbH8aCLf,Qcs4tGVj,2,2,,,,0
1442160000,Lazio,Udinese,fL3dmxxd,SYw7EcY6,2,0,,,,0
